"Trimestre","Centre","1er","2e","3e","4e","5e","6e","7e","8e","9e","10e","11e","12e","13e","14e","15e","16e","17e","18e","19e","20e"
"T3 2025","11240€","12 020 €","11 310 €","12340€","12750€","11 410 €","14010€","13 180 €","12 190 €","10 340 €","9 040 €","9560€","8700€","8720€","9240€","8 960 €","10 250 €","9 340 €","8550€","7 850 €","8290€"
"T2 2025","11 370 €","11 830 €","10 870 €","12760€","12680€","11 350 €","13 310 €","12830€","11710€","10 110 €","8870€","9290€","8500€","8500€","9 060 €","8880€","10 040 €","9 280 €","8410€","7 430 €","8 070 €"
"T1 2025","11 540 €","12740€","11 400 €","12 280 €","13 030 €","11 180 €","13270€","12550€","11690€","9 960 €","9 050 €","9 360 €","8 480 €","8 350 €","8 850 €","8720€","10 180 €","9 330 €","8 450 €","7 530 €","8 100 €"
"T4 2024","11 300 €","12 180 €","11 580 €","12 040 €","12390€","11 070 €","13 460 €","12 420 €","11760€","9650€","8780€","9220€","8410€","8530€","8 840 €","8900€","10 160 €","9 260 €","8380€","7 590 €","8 080 €"
"T3 2024","11 910 €","12 960 €","11 420 €","11 720 €","12 290 €","11690€","13 600 €","13 480 €","11 000 €","10 190 €","9 020 €","9 470 €","8 350 €","8 330 €","8790€","8780€","10 010 €","9520€","8570€","7710€","8040€"
"T2 2024","12 180 €","13570€","11 720 €","11 850 €","12 640 €","11650€","13 910 €","13 200 €","11230€","10 150 €","8820€","9470€","8 370 €","8 250 €","8 820 €","8710€","10 110 €","9 280 €","8 490 €","7 540 €","7 880 €"
"T1 2024","12 400 €","13110€","11 760 €","11 980 €","13 380 €","11670€","13 550 €","13250€","11240€","9 750 €","9 170 €","9 420 €","8 490 €","8 300 €","8870€","8 910 €","10 000 €","9 350 €","8 600 €","7670€","8 050 €"
"T4 2023","12630€","13550€","11 830 €","12570€","13 080 €","12 000 €","13840€","13 190 €","11230€","10 120 €","9330€","9740€","8670€","8 340 €","9 140 €","9 170 €","10 440 €","9 570 €","8780€","7 930 €","8 190 €"
"T3 2023","12680€","13790€","11650€","12610€","13 060 €","12 340 €","14 060 €","13 550 €","11580€","10 460 €","9550€","9 970 €","9 050 €","8750€","9240€","9 390 €","10 510 €","10 070 €","9220€","8 350 €","8540€"
"T2 2023","12650€","13 190 €","12140€","12 590 €","13220€","12550€","14010€","13620€","11 890 €","10 600 €","9640€","10 010 €","9 040 €","8730€","9240€","9 330 €","10 660 €","10 080 €","9140€","8 360 €","8700€"
